List_Sr_No,Set_No,Set_Name,First_Name,Surname,Country,State_Association,DOB,Age,Specialism,Batting,Bowling,Test_caps,ODI_caps,T20_caps,IPL,Previous_IPL_Teams,Team_2022,IPL_2022_Matches,C_U_A,Base_Price_Lakhs
176,24,UBA3,Priyansh,Arya,India,DDCA,18-09-2001,21,BATSMAN,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
177,24,UBA3,Matthew,Breetzke,South Africa,,03-11-1998,24,BATSMAN,RHB,-,,,,,,,,Uncapped,20
178,24,UBA3,Shivam,Chauhan,India,HCA,14-10-1997,25,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
179,24,UBA3,Rahul,Gahlaut,India,SSCB,18-09-1995,27,BATSMAN,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
180,24,UBA3,Sudip,Gharami,India,CAB,21-03-1999,24,BATSMAN,RHB,-,,,,,,,,Uncapped,20
181,24,UBA3,C.,Hari Nishaanth,India,TNCA,16-08-1996,26,BATSMAN,LHB,RIGHT ARM Off Spin,,,,0,CSK,CSK,0,Uncapped,20
182,24,UBA3,Amandeep,Khare,India,CSCSCA,05-08-1997,25,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
183,24,UBA3,Bhanu,Pania,India,BCA,04-09-1996,26,BATSMAN,RHB,-,,,,,,,,Uncapped,20
184,24,UBA3,Ekant,Sen,India,HPCA,21-06-1995,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
185,24,UBA3,Akash,Singh,India,ARCA,20-12-1995,27,BATSMAN,RHB,-,,,,,,,,Uncapped,20
186,25,UAL3,Himanshu,Bisht,India,CAU,17-11-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
187,25,UAL3,Yudhvir,Charak,India,JKCA,13-09-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,0,MI,,,Uncapped,20
188,25,UAL3,Mickil,Jaiswal,India,HYCA,10-05-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
189,25,UAL3,Shams,Mulani,India,MCA,13-03-1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,0,DC,,,Uncapped,20
190,25,UAL3,G.Aniketh,Reddy,India,HYCA,28-10-2000,22,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
191,25,UAL3,Atit,Sheth,India,BCA,03-02-1996,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
192,25,UAL3,M.,Siddharth,India,TNCA,03-07-1998,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,0,"KKR, DC",,,Uncapped,20
193,25,UAL3,Swapnil,Singh,India,CAU,22-01-1991,32,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,5,"MI, KXIP",,,Uncapped,20
194,25,UAL3,Tanay,Thyagarajann,India,HYCA,15-11-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
195,25,UAL3,Sumeet,Verma,India,HPCA,18-11-1990,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
196,25,UAL3,David,Wiese,Namibia,,18-05-1985,37,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,15,RCB,,,Associate,100
197,25,UAL3,Sanjay,Yadav,India,TNCA,10-05-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,1,"KKR, SRH, MI",MI,1,Uncapped,20
198,26,UWK3,Ajitesh,Guruswamy,India,TNCA,26-09-2002,20,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
199,26,UWK3,Yash,Kothari,India,RCA,06-10-1995,27,WICKETKEEPER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
200,26,UWK3,Suresh,Kumar,India,TNCA,28-11-1990,32,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
201,26,UWK3,Kumar,Kushagra,India,JSCA,23-10-2004,18,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
202,26,UWK3,Anmol,Malhotra,India,PCA,29-11-1995,27,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
203,26,UWK3,Robin,Minz,India,JSCA,13-09-2002,20,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
204,26,UWK3,Agniv,Pan,India,CAB,01-01-1997,26,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20
205,26,UWK3,Priyesh,Patel,India,GUCA,16-10-2001,21,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
206,26,UWK3,Mitesh,Patel,India,BCA,15-05-1997,25,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
207,26,UWK3,Abishek,Porel,India,CAB,17-10-2002,20,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20
208,26,UWK3,Nitish Kumar,Reddy,India,ACA,26-05-2003,19,WICKETKEEPER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
209,26,UWK3,Bharat,Sharma,India,CAP,15-11-1995,27,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
210,26,UWK3,Vivek,Singh,India,RSPB,01-11-1993,29,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20
211,26,UWK3,Abhijeet,Tomar,India,RCA,14-03-1995,28,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,1,KKR,KKR,1,Uncapped,20
212,27,UFA3,Basit,Bashir,India,JKCA,05-02-2003,20,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
213,27,UFA3,Nandre,Burger,South Africa,,11-08-1995,27,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20
214,27,UFA3,Rasikh,Dar,India,JKCA,05-04-2000,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,3,"MI, KKR",KKR,2,Uncapped,20
215,27,UFA3,Sakib,Hussain,India,BICA,14-12-2004,18,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
216,27,UFA3,Waseem,Khanday,India,JKCA,20-01-2000,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
217,27,UFA3,Ravi Kiran,Majeti,India,CSCSCA,01-02-1991,32,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
218,27,UFA3,Lukman Hussain,Meriwala,India,BCA,11-12-1991,31,BOWLER,LHB,LEFT ARM Fast Medium,,,,1,DC,,,Uncapped,20
219,27,UFA3,Anuj,Raj,India,BICA,01-11-2000,22,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,20
220,27,UFA3,Ankit Singh,Rajpoot,India,UPCA,04-12-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,29,"CSK, KKR, KXIP, RR, LSG",LSG,0,Uncapped,20
221,27,UFA3,Avinash,Singh,India,JKCA,05-07-1998,24,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
222,27,UFA3,Prince,Yadav,India,DDCA,12-12-2001,21,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
223,27,UFA3,Prithviraj,Yarra,India,ACA,20-02-1998,25,BOWLER,LHB,LEFT ARM Fast,,,,2,"KKR, SRH",,,Uncapped,20
224,28,USP3,Mushtaq,Beg,India,OCA,15-07-1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
225,28,USP3,Rocky,Bhasker,India,TNCA,07-03-1993,30,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
226,28,USP3,Sanjith,Devaraj,India,KSCA,16-09-1997,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
227,28,USP3,Raghav,Goyal,India,HCA,20-06-2001,21,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
228,28,USP3,Allah,Mohammad,Afghanistan,,15-07-2007,15,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
229,28,USP3,Lalit,Mohan,India,ACA,19-03-1990,33,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
230,28,USP3,Bhuwan,Rohilla,India,HCA,10-10-2001,21,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
231,28,USP3,Aman,Sharma,India,JKCA,03-04-1997,26,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
232,28,USP3,Manav,Suthar,India,RCA,03-08-2002,20,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
233,29,AL4,Tom,Curran,England,,12-03-1995,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,28,30,13,"KKR, RR, DC",,,Capped,75
234,29,AL4,Moises,Henriques,Australia,,01-02-1987,36,ALL-ROUNDER,RHB,RIGHT ARM Medium,4,16,24,62,"KKR, DD, RCB, SRH, PBKS",,,Capped,100
235,29,AL4,Afif,Hossain,Bangladesh,,22-09-1999,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,19,60,,,,,Capped,50
236,29,AL4,Scott,Kuggeleijn,New Zealand,,03-01-1992,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,2,18,2,"CSK, RCB",,,Capped,50
237,29,AL4,Sisanda,Magala,South Africa,,07-01-1991,32,ALL-ROUNDER,RHB,RIGHT ARM Fast,,3,4,,,,,Capped,50
238,29,AL4,Craig,Overton,England,,10-04-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,8,7,,,,,,Capped,200
239,29,AL4,Darcy,Short,Australia,,09-08-1990,32,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,8,23,7,RR,,,Capped,75
240,29,AL4,Dhananjaya,Silva,Sri Lanka,,06-09-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,45,60,33,,,,,Capped,50
241,29,AL4,Dunith,Wellalage,Sri Lanka,,09-01-2003,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,1,5,,,,,,Capped,50
242,30,FA4,Varun,Aaron,India,BCA,29-10-1989,33,BOWLER,RHB,RIGHT ARM Fast,9,9,,52,"DD, RCB, KXIP, RR, GT",GT,2,Capped,50
243,30,FA4,Sheldon,Cottrel,West Indies,,19-08-1989,33,BOWLER,RHB,LEFT ARM Fast Medium,2,38,42,6,KXIP,,,Capped,50
244,30,FA4,Nathan,Coulter-Nile,Australia,,11-10-1987,35,BOWLER,RHB,RIGHT ARM Fast,,32,28,39,"MI,DD, RCB, KKR, RR",RR,1,Capped,150
245,30,FA4,Daryn,Dupavillon,South Africa,,15-07-1994,28,BOWLER,RHB,RIGHT ARM Fast,,2,,,,,,Capped,50
246,30,FA4,Matt,Henry,New Zealand,,14-12-1991,31,BOWLER,RHB,RIGHT ARM Fast Medium,17,64,6,2,KXIP,,,Capped,100
247,30,FA4,Dhawal,Kulkarni,India,MCA,10-12-1988,34,BOWLER,RHB,RIGHT ARM Fast Medium,,12,2,92,"MI,GL,RR",,,Capped,50
248,30,FA4,Tymal,Mills,England,,12-08-1992,30,BOWLER,RHB,LEFT ARM Fast,,,13,10,"RCB, MI",MI,5,Capped,200
249,30,FA4,David,Payne,England,,15-02-1991,32,BOWLER,RHB,LEFT ARM Fast,,1,,,,,,Capped,75
250,30,FA4,Barinder,Sran,India,PCA,10-12-1992,30,BOWLER,LHB,LEFT ARM Fast Medium,,6,2,24,"RR, SRH, KXIP, MI",,,Capped,50
251,30,FA4,Glenton,Stuurman,South Africa,,10-08-1992,30,BOWLER,RHB,RIGHT ARM Fast,1,,1,,,,,Capped,50
252,31,UBA4,Anirudh,Balachander,India,TNCA,02-09-1994,28,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
253,31,UBA4,Gourav,Choudhary,India,PCA,28-10-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
254,31,UBA4,Saurav,Chuahan,India,GUCA,27-05-2000,22,BATSMAN,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
255,31,UBA4,Kumar,Deobrat,India,JSCA,24-10-1992,30,BATSMAN,RHB,-,,,,,,,,Uncapped,20
256,31,UBA4,Chirag,Gandhi,India,GUCA,18-06-1990,32,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
257,31,UBA4,Arman,Jaffer,India,MCA,25-10-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,,,,0,KXIP,,,Uncapped,20
258,31,UBA4,Madhav,Kaushik,India,UPCA,03-01-1998,25,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
259,31,UBA4,Priyank,Panchal,India,GUCA,09-04-1990,33,BATSMAN,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
260,31,UBA4,Ayush,Pandey,India,CSCSCA,19-09-2003,19,BATSMAN,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
261,31,UBA4,Rohan,Patil,India,KSCA,18-08-2001,21,BATSMAN,LHB,-,,,,,,,,Uncapped,20
262,31,UBA4,Sanjay,Ramaswamy,India,VCA,01-04-1995,28,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
263,31,UBA4,Siddharth,Yadav,India,UPCA,13-08-2003,19,BATSMAN,LHB,-,,,,,,,,Uncapped,20
264,32,UAL4,Rehan,Ahmed,England,,13-08-2004,18,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,40
265,32,UAL4,Prayas,Barman,India,CAB,25-10-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,1,RCB,,,Uncapped,20
266,32,UAL4,Rahul,Buddhi,India,HYCA,20-09-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,0,MI,MI,0,Uncapped,20
267,32,UAL4,Vaisakh,Chandran,India,KCA,31-05-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
268,32,UAL4,Writtick,Chatterjee,India,CAB,28-09-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,PBKS,PBKS,0,Uncapped,20
269,32,UAL4,Prashant,Chopra,India,HPCA,07-10-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,2,RR,,,Uncapped,20
270,32,UAL4,Harsh,Dubey,India,VCA,23-07-2002,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
271,32,UAL4,Tanush,Kotian,India,MCA,16-10-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
272,32,UAL4,Ninad,Rathva,India,BCA,10-03-1999,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
273,32,UAL4,B.,Surya,India,TNCA,19-09-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
274,32,UAL4,Jordan,Thompson,England,,09-10-1996,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,40
275,32,UAL4,Shivank,Vashisth,India,DDCA,17-09-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
276,33,UWK4,Ankush,Bains,India,HPCA,16-12-1995,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,,0,"RPSG, DC",,,Uncapped,20
277,33,UWK4,Christopher,Benjamin,England,,29-04-1999,23,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
278,33,UWK4,Connor,Esterhuizen,South Africa,,31-05-2001,21,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
279,33,UWK4,Mohd Arslan,Khan,India,UTCA,15-09-1999,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
280,33,UWK4,Mamidi,Krishna,India,ACA,17-07-2001,21,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
281,33,UWK4,Fazil,Makaya,India,JKCA,11-12-1996,26,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
282,33,UWK4,Akshdeep,Nath,India,UPCA,10-05-1993,29,WICKETKEEPER,RHB,-,,,,14,"GL, KXIP, RCB",,,Uncapped,20
283,33,UWK4,Deepak,Punia,India,DDCA,27-09-1993,29,WICKETKEEPER,RHB,RIGHT ARM Fast,,,,0,MI,,,Uncapped,20
284,33,UWK4,Kunal,Rathore,India,RCA,09-10-2002,20,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20
285,33,UWK4,Ateev,Saini,India,JKCA,07-04-1996,27,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
286,33,UWK4,Bipin,Saurabh,India,BICA,20-11-1999,23,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
287,33,UWK4,B.R.,Sharath,India,KSCA,28-09-1996,26,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
288,33,UWK4,Yashovardhan,Singh,India,UPCA,21-08-2002,20,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
289,33,UWK4,Lakshay,Thareja,India,DDCA,15-09-1997,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
290,34,UFA4,Mohit,Avasthi,India,MCA,18-11-1992,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
291,34,UFA4,Ottneil,Baartman,South Africa,,18-03-1993,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
292,34,UFA4,Gurnoor Singh,Brar,India,PCA,25-05-2000,22,BOWLER,LHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
293,34,UFA4,Shahrukh,Dar,India,JKCA,12-06-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
294,34,UFA4,Thomas,Helm,England,,07-05-1994,28,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,40
295,34,UFA4,Pankaj,Jaswal,India,HPCA,20-09-1995,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0,MI,,,Uncapped,20
296,34,UFA4,Venkatesh,Muralidhara,India,KSCA,12-05-2000,22,BOWLER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
297,34,UFA4,Geet,Puri,India,CAB,06-11-1994,28,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
298,34,UFA4,E.,Sanketh,India,HYCA,08-10-1999,23,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20
299,34,UFA4,Ajay,Sarkar,India,TCA,10-03-1997,26,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
300,34,UFA4,Ashok,Sharma,India,RCA,17-06-2002,20,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
301,34,UFA4,Kanwar,Singh,India,HPCA,16-06-1991,31,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
302,35,AL5,Fabian,Allen,West Indies,,07-05-1995,27,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,20,34,5,"SRH, PBKS, MI",MI,1,Capped,50
303,35,AL5,Carlos,Brathwaite,West Indies,,18-07-1988,34,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,44,41,16,"DD, SRH, KKR",,,Capped,75
304,35,AL5,Roston,Chase,West Indies,,22-03-1992,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,43,33,6,,,,,Capped,100
305,35,AL5,Rahkeem,Cornwall,West Indies,,01-02-1993,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,9,,,,,,,Capped,100
306,35,AL5,Karim,Janat,Afghanistan,,11-08-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,1,41,,,,,Capped,50
307,35,AL5,Keshav,Maharaj,South Africa,,07-02-1990,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,45,26,25,,,,,Capped,50
308,35,AL5,Pawan,Negi,India,DDCA,06-01-1993,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,1,50,"CSK, RCB, DD, KKR",,,Capped,50
309,35,AL5,Keemo,Paul,West Indies,,21-02-1998,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,23,23,8,DC,,,Capped,50
310,36,UAL5,Shivam,Chaudhary,India,RSPB,04-08-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
311,36,UAL5,Ashwin,Das,India,MPCA,16-12-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
312,36,UAL5,James,Fuller,England,,24-01-1990,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,40
313,36,UAL5,Chirag,Jani,India,SCA,09-11-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
314,36,UAL5,Akshay,Karnewar,India,VCA,12-10-1992,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
315,36,UAL5,Bhagmender,Lather,India,UTCA,18-06-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
316,36,UAL5,Lone,Muzaffar,India,JKCA,05-09-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
317,36,UAL5,Pulkit,Narang,India,SSCB,18-06-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
318,36,UAL5,Rohit,Rayudu,India,HYCA,29-07-1994,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
319,36,UAL5,Sameer,Rizvi,India,UPCA,06-12-2003,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
320,36,UAL5,Tunish,Sawkar,India,GCA,25-09-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
321,36,UAL5,Sonu,Yadav,India,TNCA,11-11-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
322,37,UFA5,Auqib,Dar,India,JKCA,04-11-1996,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
323,37,UFA5,Mukhtar,Hussain,India,ASCA,11-01-1999,24,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
324,37,UFA5,Kulwant,Khejroliya,India,DDCA,13-03-1992,31,BOWLER,LHB,LEFT ARM Fast,,,,5,"MI, RCB",,,Uncapped,20
325,37,UFA5,Ashwani,Kumar,India,PCA,29-08-2001,21,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
326,37,UFA5,Hemant,Kumar,India,RCA,28-10-1995,27,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20
327,37,UFA5,Nathan,McAndrew,Australia,,14-07-1993,29,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
328,37,UFA5,Rajesh,Mohanty,India,OCA,20-05-2000,22,BOWLER,LHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
329,37,UFA5,Ravi,Sharma,India,RCA,14-10-1996,26,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
330,37,UFA5,Vikash,Singh,India,JSCA,28-06-1994,28,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
331,37,UFA5,Ruben,Trumpelmann,Namibia,,01-02-1998,25,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Associate,20
332,37,UFA5,Koushik,Vasuki,India,KSCA,19-09-1992,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
333,37,UFA5,Vasu,Vats,India,UPCA,08-09-2002,20,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
334,38,UAL6,Shubham,Agrawal,India,CSCSCA,21-11-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
335,38,UAL6,Baba,Aparajith,India,TNCA,08-07-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,RPSG,,,Uncapped,20
336,38,UAL6,Anshul,Kamboj,India,HCA,06-12-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
337,38,UAL6,Azim,Kazi,India,MACA,14-10-1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
338,38,UAL6,Dev,Lakra,India,DDCA,27-01-2003,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
339,38,UAL6,Ajay,Mandal,India,CSCSCA,25-02-1996,27,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,,,,,,,Uncapped,20
340,38,UAL6,Abdul,P A,India,KCA,09-10-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
341,38,UAL6,Jitender,Pal,India,HCA,20-12-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
342,38,UAL6,Ritwik,Roy Chowdhury,India,CAB,20-11-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
343,38,UAL6,Utkarsh,Singh,India,JSCA,07-05-1998,24,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,0,PBKS,,,Uncapped,20
344,38,UAL6,Shubham,Singh,India,CSCSCA,05-01-1997,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
345,38,UAL6,Avneesh,Sudha,India,CAU,20-11-2001,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
346,39,UFA6,Asad Jamil,Ahmed,India,JKCA,31-08-1999,23,BOWLER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
347,39,UFA6,Bandaru,Ayyappa,India,ACA,27-10-1992,30,BOWLER,RHB,RIGHT ARM Medium,,,,0,DC,,,Uncapped,20
348,39,UFA6,Aashish,Bhatt,India,JKCA,14-08-2003,19,BOWLER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
349,39,UFA6,McKenny,Clarke,West Indies,,05-06-2003,19,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
350,39,UFA6,Shubham,Kapse,India,VCA,22-07-1994,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
351,39,UFA6,Gourav,Koul,India,JKCA,16-04-1998,24,BOWLER,RHB,LEFT ARM Medium,,,,,,,,Uncapped,20
352,39,UFA6,Raunak,Kumar,India,JSCA,19-12-2002,20,BOWLER,RHB,LEFT ARM Medium,,,,,,,,Uncapped,20
353,39,UFA6,Trilok,Nag,India,TNCA,28-05-2000,22,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
354,39,UFA6,Atal Bihari,Rai,India,UPCA,05-08-1999,23,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
355,39,UFA6,Ramon,Simmonds,West Indies,,16-10-2001,21,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
